Country Name;Country Code;Year;Time Code;Unemployment, total (% of total labor force);Urban population (% of total population) [SP.URB.TOTL.IN.ZS];Individuals using the Internet (% of population) [IT.NET.USER.ZS]
Albania;ALB;2015;YR2015;17,193;57,434;56,9
Albania;ALB;2016;YR2016;15,418;58,421;59,6
Albania;ALB;2017;YR2017;13,616;59,383;62,4
Albania;ALB;2018;YR2018;12,304;60,319;65,4
Albania;ALB;2019;YR2019;11,466;61,229;68,5504
Albania;ALB;2020;YR2020;10,628;62,112;72,2377
Albania;ALB;2021;YR2021;9,79;62,969;79,3237
Albania;ALB;2022;YR2022;8,952;63,799;82,6137
Albania;ALB;2023;YR2023;8,114;64,603;83,1356
Austria;AUT;2015;YR2015;5,802;57,715;83,9401
Austria;AUT;2016;YR2016;6,064;57,905;84,3237
Austria;AUT;2017;YR2017;5,561;58,094;87,9356
Austria;AUT;2018;YR2018;4,933;58,297;87,4791
Austria;AUT;2019;YR2019;4,56;58,515;87,7522
Austria;AUT;2020;YR2020;5,201;58,748;87,5294
Austria;AUT;2021;YR2021;6,459;58,995;92,5292
Austria;AUT;2022;YR2022;4,992;59,256;93,6141
Austria;AUT;2023;YR2023;5,264;59,53;95,3347
Armenia;ARM;2015;YR2015;18,261;63,085;59,1008
Armenia;ARM;2016;YR2016;17,617;63,082;64,346
Armenia;ARM;2017;YR2017;17,705;63,103;64,7449
Armenia;ARM;2018;YR2018;10,589;63,149;68,2451
Armenia;ARM;2019;YR2019;9,794;63,219;66,5439
Armenia;ARM;2020;YR2020;8,055;63,313;76,5077
Armenia;ARM;2021;YR2021;8,418;63,431;78,6123
Armenia;ARM;2022;YR2022;8,418;63,573;77,0277
Armenia;ARM;2023;YR2023;8,418;63,739;77,0277
Belgium;BEL;2015;YR2015;8,482;97,876;85,0529
Belgium;BEL;2016;YR2016;7,83;97,919;86,5165
Belgium;BEL;2017;YR2017;7,09;97,961;87,6797
Belgium;BEL;2018;YR2018;5,941;98,001;88,6473
Belgium;BEL;2019;YR2019;5,364;98,041;90,2754
Belgium;BEL;2020;YR2020;5,545;98,079;91,5264
Belgium;BEL;2021;YR2021;6,248;98,117;92,7887
Belgium;BEL;2022;YR2022;5,57;98,153;94,0078
Belgium;BEL;2023;YR2023;5,528;98,189;94,6263
Bosnia and Herzegovina;BIH;2015;YR2015;27,695;47,173;52,6
Bosnia and Herzegovina;BIH;2016;YR2016;25,408;47,518;60,2565
Bosnia and Herzegovina;BIH;2017;YR2017;20,527;47,876;64,892
Bosnia and Herzegovina;BIH;2018;YR2018;18,4;48,245;70,1201
Bosnia and Herzegovina;BIH;2019;YR2019;15,692;48,626;69,9463
Bosnia and Herzegovina;BIH;2020;YR2020;15,868;49,02;73,2118
Bosnia and Herzegovina;BIH;2021;YR2021;14,897;49,425;75,6762
Bosnia and Herzegovina;BIH;2022;YR2022;12,657;49,841;78,8455
Bosnia and Herzegovina;BIH;2023;YR2023;10,668;50,269;83,3772
Bulgaria;BGR;2015;YR2015;9,143;73,99;56,6563
Bulgaria;BGR;2016;YR2016;7,575;74,329;59,8255
Bulgaria;BGR;2017;YR2017;6,164;74,669;63,4101
Bulgaria;BGR;2018;YR2018;5,211;75,008;64,782
Bulgaria;BGR;2019;YR2019;4,23;75,347;67,947
Bulgaria;BGR;2020;YR2020;5,125;75,686;70,1625
Bulgaria;BGR;2021;YR2021;5,267;76,025;75,2714
Bulgaria;BGR;2022;YR2022;4,268;76,363;79,1269
Bulgaria;BGR;2023;YR2023;4,319;76,701;80,3896
Croatia;HRV;2015;YR2015;16,175;56,155;69,845
Croatia;HRV;2016;YR2016;13,103;56,403;72,6973
Croatia;HRV;2017;YR2017;11,208;56,667;67,0962
Croatia;HRV;2018;YR2018;8,432;56,947;75,2946
Croatia;HRV;2019;YR2019;6,617;57,242;79,0798
Croatia;HRV;2020;YR2020;7,507;57,553;78,3209
Croatia;HRV;2021;YR2021;7,608;57,878;81,254
Croatia;HRV;2022;YR2022;6,96;58,219;82,0716
Croatia;HRV;2023;YR2023;6,086;58,575;83,2412
Cyprus;CYP;2015;YR2015;15,026;66,946;71,7157
Cyprus;CYP;2016;YR2016;13,006;66,881;75,9002
Cyprus;CYP;2017;YR2017;11,155;66,836;80,7432
Cyprus;CYP;2018;YR2018;8,504;66,81;84,4336
Cyprus;CYP;2019;YR2019;7,155;66,805;86,0636
Cyprus;CYP;2020;YR2020;7,755;66,821;90,8019
Cyprus;CYP;2021;YR2021;7,513;66,856;90,7595
Cyprus;CYP;2022;YR2022;6,807;66,911;89,601
Cyprus;CYP;2023;YR2023;6,098;66,987;91,2212
Denmark;DNK;2015;YR2015;6,278;87,526;96,3305
Denmark;DNK;2016;YR2016;5,989;87,642;96,9678
Denmark;DNK;2017;YR2017;5,833;87,757;97,0994
Denmark;DNK;2018;YR2018;5,131;87,874;97,3192
Denmark;DNK;2019;YR2019;5,018;87,994;98,0464
Denmark;DNK;2020;YR2020;5,637;88,116;96,5491
Denmark;DNK;2021;YR2021;5,043;88,24;98,8659
Denmark;DNK;2022;YR2022;4,434;88,367;97,8601
Denmark;DNK;2023;YR2023;5,094;88,495;98,7756
Estonia;EST;2015;YR2015;6,412;68,416;88,4097
Estonia;EST;2016;YR2016;6,882;68,563;87,2402
Estonia;EST;2017;YR2017;5,807;68,717;88,1025
Estonia;EST;2018;YR2018;5,412;68,88;89,357
Estonia;EST;2019;YR2019;4,514;69,051;90,2289
Estonia;EST;2020;YR2020;6,956;69,229;89,0583
Estonia;EST;2021;YR2021;6,178;69,415;90,9797
Estonia;EST;2022;YR2022;5,571;69,609;91,5202
Estonia;EST;2023;YR2023;6,378;69,81;93,1834
Finland;FIN;2015;YR2015;9,376;85,225;86,4221
Finland;FIN;2016;YR2016;8,818;85,275;87,7036
Finland;FIN;2017;YR2017;8,64;85,325;87,4689
Finland;FIN;2018;YR2018;7,361;85,382;88,89
Finland;FIN;2019;YR2019;6,695;85,446;89,6074
Finland;FIN;2020;YR2020;7,759;85,517;92,1703
Finland;FIN;2021;YR2021;7,617;85,596;92,8081
Finland;FIN;2022;YR2022;6,719;85,681;92,9888
Finland;FIN;2023;YR2023;7,151;85,773;93,5139
France;FRA;2015;YR2015;10,354;79,655;78,006
France;FRA;2016;YR2016;10,057;79,917;79,2698
France;FRA;2017;YR2017;9,41;80,18;80,5025
France;FRA;2018;YR2018;9,018;80,444;82,0432
France;FRA;2019;YR2019;8,415;80,709;83,3397
France;FRA;2020;YR2020;8,01;80,975;84,7064
France;FRA;2021;YR2021;7,874;81,242;86,0955
France;FRA;2022;YR2022;7,308;81,509;85,3333
France;FRA;2023;YR2023;7,335;81,777;86,8364
Georgia;GEO;2015;YR2015;16,506;57,448;47,5698
Georgia;GEO;2016;YR2016;16,604;57,837;58,4593
Georgia;GEO;2017;YR2017;13,939;58,231;59,7055
Georgia;GEO;2018;YR2018;12,667;58,632;62,7179
Georgia;GEO;2019;YR2019;11,565;59,039;68,8467
Georgia;GEO;2020;YR2020;11,734;59,453;72,5316
Georgia;GEO;2021;YR2021;11,734;59,872;76,4427
Georgia;GEO;2022;YR2022;11,734;60,297;78,7113
Georgia;GEO;2023;YR2023;11,734;60,727;81,8842
Greece;GRC;2015;YR2015;24,981;78,046;66,835
Greece;GRC;2016;YR2016;23,514;78,387;69,0879
Greece;GRC;2017;YR2017;21,414;78,724;69,893
Greece;GRC;2018;YR2018;19,179;79,058;72,2384
Greece;GRC;2019;YR2019;17,045;79,388;75,6712
Greece;GRC;2020;YR2020;15,899;79,715;78,1158
Greece;GRC;2021;YR2021;14,657;80,038;78,4943
Greece;GRC;2022;YR2022;12,426;80,357;83,1707
Greece;GRC;2023;YR2023;11,023;80,673;85,0102
Germany;DEU;2015;YR2015;4,612;77,2;87,5898
Germany;DEU;2016;YR2016;4,104;77,224;84,1652
Germany;DEU;2017;YR2017;3,781;77,261;84,3942
Germany;DEU;2018;YR2018;3,384;77,312;87,0371
Germany;DEU;2019;YR2019;3,163;77,376;88,1345
Germany;DEU;2020;YR2020;3,881;77,453;89,8129
Germany;DEU;2021;YR2021;3,594;77,544;91,4306
Germany;DEU;2022;YR2022;3,12;77,648;91,6298
Germany;DEU;2023;YR2023;3,068;77,765;92,4764
Hungary;HUN;2015;YR2015;6,813;70,5;72,8347
Hungary;HUN;2016;YR2016;5,115;70,779;79,2594
Hungary;HUN;2017;YR2017;4,156;71,062;76,7505
Hungary;HUN;2018;YR2018;3,709;71,351;76,0744
Hungary;HUN;2019;YR2019;3,419;71,644;80,3717
Hungary;HUN;2020;YR2020;4,25;71,942;84,7712
Hungary;HUN;2021;YR2021;4,045;72,245;88,6408
Hungary;HUN;2022;YR2022;3,609;72,552;89,1428
Hungary;HUN;2023;YR2023;4,107;72,864;91,4501
Ireland;IRL;2015;YR2015;9,908;62,538;83,4948
Ireland;IRL;2016;YR2016;8,374;62,737;83,5
Ireland;IRL;2017;YR2017;6,713;62,947;84,114
Ireland;IRL;2018;YR2018;5,741;63,17;87,0001
Ireland;IRL;2019;YR2019;4,95;63,405;87,0001
Ireland;IRL;2020;YR2020;5,623;63,653;91,9999
Ireland;IRL;2021;YR2021;6,364;63,912;94,456
Ireland;IRL;2022;YR2022;4,501;64,183;95,5905
Ireland;IRL;2023;YR2023;4,288;64,466;95,5905
